symbol,name,sector
360ONE,360 ONE WAM Ltd.,Financial Services
ABB,ABB India Ltd.,Capital Goods
APLAPOLLO,APL Apollo Tubes Ltd.,Capital Goods
AUBANK,AU Small Finance Bank Ltd.,Financial Services
ADANIENSOL,Adani Energy Solutions Ltd.,Power
ADANIENT,Adani Enterprises Ltd.,Metals & Mining
ADANIGREEN,Adani Green Energy Ltd.,Power
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services
ADANIPOWER,Adani Power Ltd.,Power
ATGL,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services
ALKEM,Alkem Laboratories Ltd.,Healthcare
AMBUJACEM,Ambuja Cements Ltd.,Construction Materials
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods
ASIANPAINT,Asian Paints Ltd.,Consumer Durables
ASTRAL,Astral Ltd.,Capital Goods
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare
DMART,Avenue Supermarts Ltd.,Consumer Services
AXISBANK,Axis Bank Ltd.,Financial Services
BSE,BSE Ltd.,Financial Services
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components
BAJFINANCE,Bajaj Finance Ltd.,Financial Services
BAJAJFINSV,Bajaj Finserv Ltd.,Financial Services
BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,Financial Services
BANKBARODA,Bank of Baroda,Financial Services
BANKINDIA,Bank of India,Financial Services
BDL,Bharat Dynamics Ltd.,Capital Goods
BEL,Bharat Electronics Ltd.,Capital Goods
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
BHARTIARTL,Bharti Airtel Ltd.,Telecommunication
GROWW,Billionbrains Garage Ventures Ltd.,Financial Services
BIOCON,Biocon Ltd.,Healthcare
BLUESTARCO,Blue Star Ltd.,Consumer Durables
BOSCHLTD,Bosch Ltd.,Automobile and Auto Components
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods
CANBK,Canara Bank,Financial Services
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services
CIPLA,Cipla Ltd.,Healthcare
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods
COFORGE,Coforge Ltd.,Information Technology
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods
CONCOR,Container Corporation of India Ltd.,Services
COROMANDEL,Coromandel International Ltd.,Chemicals
CUMMINSIND,Cummins India Ltd.,Capital Goods
DLF,DLF Ltd.,Realty
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods
DIVISLAB,Divi's Laboratories Ltd.,Healthcare
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components
ETERNAL,Eternal Ltd.,Consumer Services
EXIDEIND,Exide Industries Ltd.,Automobile and Auto Components
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services
FEDERALBNK,Federal Bank Ltd.,Financial Services
FORTIS,Fortis Healthcare Ltd.,Healthcare
GAIL,GAIL (India) Ltd.,Oil Gas & Consumable Fuels
GVT&D,GE Vernova T&D India Ltd.,Capital Goods
GMRAIRPORT,GMR Airports Ltd.,Services
GLENMARK,Glenmark Pharmaceuticals Ltd.,Healthcare
GODFRYPHLP,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods
GODREJPROP,Godrej Properties Ltd.,Realty
GRASIM,Grasim Industries Ltd.,Construction Materials
HCLTECH,HCL Technologies Ltd.,Information Technology
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services
HDFCBANK,HDFC Bank Ltd.,Financial Services
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services
HAVELLS,Havells India Ltd.,Consumer Durables
HEROMOTOCO,Hero MotoCorp Ltd.,Automobile and Auto Components
HINDALCO,Hindalco Industries Ltd.,Metals & Mining
HAL,Hindustan Aeronautics Ltd.,Capital Goods
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels
HINDUNILVR,Hindustan Unilever Ltd.,Fast Moving Consumer Goods
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods
HUDCO,Housing & Urban Development Corporation Ltd.,Financial Services
HYUNDAI,Hyundai Motor India Ltd.,Automobile and Auto Components
ICICIBANK,ICICI Bank Ltd.,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Ltd.,Financial Services
ICICIAMC,ICICI Prudential Asset Management Company Ltd.,Financial Services
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services
ITC,ITC Ltd.,Fast Moving Consumer Goods
INDIANB,Indian Bank,Financial Services
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services
IOC,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels
IRCTC,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services
IRFC,Indian Railway Finance Corporation Ltd.,Financial Services
IREDA,Indian Renewable Energy Development Agency Ltd.,Financial Services
INDUSTOWER,Indus Towers Ltd.,Telecommunication
INDUSINDBK,IndusInd Bank Ltd.,Financial Services
NAUKRI,Info Edge (India) Ltd.,Consumer Services
INFY,Infosys Ltd.,Information Technology
INDIGO,InterGlobe Aviation Ltd.,Services
JSWENERGY,JSW Energy Ltd.,Power
JSWSTEEL,JSW Steel Ltd.,Metals & Mining
JINDALSTEL,Jindal Steel Ltd.,Metals & Mining
JIOFIN,Jio Financial Services Ltd.,Financial Services
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services
KEI,KEI Industries Ltd.,Capital Goods
KPITTECH,KPIT Technologies Ltd.,Information Technology
KALYANKJIL,Kalyan Jewellers India Ltd.,Consumer Durables
KOTAKBANK,Kotak Mahindra Bank Ltd.,Financial Services
LTF,L&T Finance Ltd.,Financial Services
LGEINDIA,LG Electronics India Ltd.,Consumer Durables
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services
LTM,LTM Ltd.,Information Technology
