symbol,setup,entry_date,exit_date,entry,exit_avg,qty,pnl,R,bars,exit_reason,regime
MOTILALOFS,S4,2019-11-22,2019-12-13,720.39,739.37,277,5259.0,0.78,15,time stop,AMBER
INFY,S2,2020-08-07,2020-08-25,827.5,798.23,84,-2459.0,-0.49,12,stop,AMBER
APLAPOLLO,S4,2020-08-18,2020-09-08,225.67,241.3,366,5721.0,1.52,15,time stop,GREEN
LTM,S4,2020-09-16,2020-09-22,2490.16,2396.23,41,-3851.0,-1.03,4,stop,RED
GODREJPROP,S2,2021-01-20,2021-01-21,1415.47,1398.25,142,-2445.0,-1.11,1,stop,GREEN
GODREJPROP,S2,2021-01-21,2021-01-22,1427.93,1381.77,141,-6509.0,-1.65,1,stop,GREEN
BEL,S4,2021-01-05,2021-01-27,39.77,40.5,2103,1524.0,0.4,15,time stop,GREEN
NATIONALUM,S4,2021-03-04,2021-03-05,45.96,44.03,2183,-4201.0,-1.03,1,stop,RED
GRASIM,S2,2021-04-09,2021-04-15,1414.97,1313.07,57,-5808.0,-1.02,3,stop,AMBER
SUNPHARMA,S4,2021-05-11,2021-05-28,665.66,643.23,140,-3141.0,-0.69,12,stop,AMBER
ADANIENT,S2,2021-02-02,2021-06-14,541.41,1243.4,245,171987.0,17.3,88,stop,AMBER
ADANIENSOL,S4,2021-06-01,2021-06-15,1491.76,1444.59,56,-2642.0,-0.58,10,stop,AMBER
VEDL,S2,2021-04-16,2021-06-16,108.59,127.69,1664,31788.0,5.63,41,stop,AMBER
IOC,S2,2021-06-16,2021-06-29,57.02,53.24,1601,-6050.0,-1.02,9,stop,AMBER
JUBLFOOD,S2,2021-07-05,2021-07-06,627.66,620.71,375,-2605.0,-1.13,1,stop,AMBER
GLENMARK,S2,2021-07-05,2021-07-26,653.97,629.65,150,-3648.0,-0.62,14,stop,RED
NAUKRI,S4,2021-08-30,2021-09-21,1158.57,1318.64,95,15207.0,3.22,15,time stop,AMBER
TECHM,S2,2021-07-09,2021-09-29,886.78,1205.09,264,84033.0,20.99,55,stop,GREEN
GMRAIRPORT,S4,2021-09-23,2021-10-14,32.83,39.05,5702,35447.0,3.64,15,time stop,AMBER
HINDPETRO,S4,2021-09-30,2021-10-22,171.86,188.29,1212,19910.0,2.07,15,time stop,GREEN
NHPC,S4,2021-10-01,2021-10-25,25.27,27.41,10151,21686.0,2.93,15,time stop,GREEN
COROMANDEL,S2,2022-06-15,2022-06-23,917.92,890.71,96,-2612.0,-0.39,6,structure break,RED
PHOENIXLTD,S2,2022-07-19,2022-07-26,616.16,589.43,141,-3769.0,-0.56,5,stop,GREEN
YESBANK,S4,2022-07-25,2022-07-26,14.87,14.01,11973,-10310.0,-1.02,1,stop,GREEN
BRITANNIA,S2,2022-07-29,2022-08-02,3724.4,3599.56,71,-8863.0,-0.74,2,stop,GREEN
KEI,S4,2022-08-08,2022-08-10,1401.7,1339.17,162,-10130.0,-1.03,1,stop,GREEN
M&M,S4,2022-08-03,2022-08-26,1229.49,1240.73,215,2416.0,0.26,15,time stop,GREEN
EICHERMOT,S2,2022-08-01,2022-08-29,2987.17,3172.29,65,12033.0,0.91,18,stop,GREEN
COROMANDEL,S2,2022-08-25,2022-09-14,1022.65,991.6,261,-8103.0,-0.81,13,stop,AMBER
APLAPOLLO,S4,2022-09-05,2022-09-26,1031.42,1018.21,185,-2442.0,-0.25,15,time stop,GREEN
AMBUJACEM,S4,2022-09-16,2022-09-26,525.02,500.92,425,-10241.0,-1.03,6,stop,GREEN
TIINDIA,S4,2022-09-07,2022-09-28,2494.19,2627.4,50,6660.0,1.34,15,time stop,GREEN
CGPOWER,S2,2022-12-13,2022-12-19,279.27,270.73,828,-7072.0,-1.04,4,stop,GREEN
ABCAPITAL,S4,2022-11-29,2022-12-20,137.32,153.46,1021,16475.0,3.33,15,time stop,AMBER
RECLTD,S4,2022-11-29,2022-12-20,92.4,93.37,1346,1313.0,0.27,15,time stop,AMBER
CUMMINSIND,S2,2022-11-24,2022-12-23,1298.62,1338.5,202,8056.0,0.76,21,stop,RED
GMRAIRPORT,S2,2023-05-23,2023-05-29,45.51,44.17,5112,-6821.0,-0.51,4,stop,GREEN
DLF,S2,2023-06-13,2023-06-23,482.79,468.04,537,-7925.0,-0.6,8,stop,GREEN
ASHOKLEY,S4,2023-06-20,2023-06-23,76.67,74.03,3431,-9074.0,-1.04,3,stop,GREEN
GLENMARK,S3,2023-06-27,2023-06-28,643.32,670.18,191,5131.0,1.04,1,structure break,GREEN
TRENT,S4,2023-06-15,2023-07-07,1716.62,1698.96,139,-2454.0,-0.25,15,time stop,GREEN
KEI,S4,2023-06-16,2023-07-10,2295.46,2289.28,77,-476.0,-0.05,15,time stop,GREEN
ABB,S2,2023-07-12,2023-07-20,4440.76,4249.8,44,-8403.0,-0.63,6,stop,GREEN
DLF,S2,2023-06-28,2023-07-25,476.47,472.61,552,-2130.0,-0.7,18,stop,GREEN
PNB,S4,2023-07-06,2023-07-27,56.11,59.86,3764,14096.0,1.42,15,time stop,GREEN
BAJAJ-AUTO,S4,2023-07-07,2023-07-28,4657.01,4661.58,57,260.0,0.04,15,time stop,GREEN
BANKINDIA,S4,2023-07-24,2023-07-28,77.53,74.78,3437,-9447.0,-1.04,4,stop,GREEN
BIOCON,S3,2023-07-28,2023-08-02,256.57,251.95,356,-1646.0,-0.33,3,structure break,GREEN
BAJFINANCE,S3,2023-07-31,2023-08-02,727.26,712.11,343,-5196.0,-1.06,2,stop,GREEN
ASIANPAINT,S2,2023-07-12,2023-08-10,3331.91,3196.3,79,-10713.0,-0.82,21,stop,GREEN
SHRIRAMFIN,S2,2023-08-08,2023-08-14,356.28,341.52,663,-9781.0,-0.75,4,stop,AMBER
LT,S4,2023-07-25,2023-08-16,2521.23,2616.53,105,10006.0,1.62,15,time stop,RED
BANKINDIA,S2,2023-08-09,2023-10-20,79.4,93.61,2781,39505.0,3.04,49,stop,AMBER
BAJAJFINSV,S4,2023-10-16,2023-10-26,1644.22,1586.24,100,-5798.0,-1.16,7,stop,RED
CONCOR,S4,2023-12-13,2023-12-21,828.84,792.21,140,-5127.0,-1.03,6,stop,GREEN
NHPC,S4,2023-12-06,2023-12-28,55.68,60.89,1637,8520.0,1.72,15,time stop,GREEN
PNB,S4,2023-12-06,2023-12-28,82.22,91.61,2392,22455.0,4.53,15,time stop,GREEN
POWERGRID,S4,2023-12-07,2023-12-29,207.36,218.06,683,7306.0,1.47,15,time stop,GREEN
GAIL,S4,2023-12-27,2024-01-17,139.78,147.66,1388,10943.0,1.09,15,time stop,GREEN
GODREJPROP,S4,2024-01-08,2024-01-31,2227.78,2374.18,127,18592.0,1.79,15,time stop,RED
PRESTIGE,S2,2023-12-26,2024-02-13,1114.54,1139.47,239,5957.0,0.46,33,review recycle,RED
NHPC,S4,2024-01-24,2024-02-15,71.89,86.81,2882,42981.0,4.13,15,time stop,RED
HINDPETRO,S2,2024-03-04,2024-03-11,323.41,311.71,392,-4587.0,-0.61,4,stop,AMBER
ADANIPORTS,S2,2024-02-26,2024-03-13,1309.63,1273.29,80,-2907.0,-0.39,11,stop,AMBER
LUPIN,S2,2024-03-22,2024-04-04,1596.05,1568.59,128,-3514.0,-0.46,7,structure break,RED
DIXON,S2,2024-03-18,2024-04-16,6966.11,7536.56,15,8557.0,1.14,18,stop,RED
CONCOR,S4,2024-05-24,2024-05-31,1078.38,1024.81,116,-6215.0,-1.02,5,stop,RED
CUMMINSIND,S2,2024-01-04,2024-06-04,1916.23,3110.23,100,119400.0,8.56,99,stop,AMBER
CGPOWER,S4,2024-05-14,2024-06-04,589.26,611.77,175,3939.0,0.67,14,stop,AMBER
JINDALSTEL,S2,2024-05-14,2024-06-04,936.85,899.26,122,-4586.0,-0.58,14,stop,AMBER
EXIDEIND,S2,2024-05-15,2024-06-04,458.46,429.11,276,-8102.0,-1.02,13,stop,AMBER
WIPRO,S4,2024-07-19,2024-07-22,272.14,243.89,447,-12628.0,-2.2,1,stop,AMBER
ITC,S4,2024-07-29,2024-08-05,449.2,425.52,265,-6275.0,-1.1,5,stop,AMBER
HINDPETRO,S4,2024-07-30,2024-08-13,352.01,351.15,447,-387.0,-0.07,10,stop,RED
TCS,S2,2024-09-11,2024-09-12,4229.01,4156.46,71,-5151.0,-1.08,1,stop,AMBER
AUROPHARMA,S2,2024-09-26,2024-09-27,1526.28,1494.91,199,-6243.0,-1.06,1,stop,AMBER
FORTIS,S2,2024-09-11,2024-10-04,561.04,581.65,277,5710.0,0.76,16,stop,AMBER
MARICO,S2,2024-10-09,2024-10-14,690.29,669.39,376,-7860.0,-1.04,3,stop,RED
BEL,S4,2025-05-15,2025-06-05,344.66,390.44,680,31126.0,2.77,15,time stop,RED
ADANIPORTS,S2,2025-05-27,2025-06-13,1391.97,1403.24,72,811.0,0.11,13,stop,RED
360ONE,S4,2025-06-17,2025-06-19,1160.79,1089.92,82,-5811.0,-1.02,2,stop,AMBER
FEDERALBNK,S2,2025-06-19,2025-06-20,206.31,202.21,1483,-6079.0,-1.07,1,stop,AMBER
BOSCHLTD,S4,2025-07-14,2025-08-04,36337.78,41063.61,3,14177.0,2.89,15,time stop,RED
LTF,S4,2025-10-01,2025-10-24,247.75,263.95,647,10479.0,1.82,15,time stop,AMBER
NATIONALUM,S4,2025-10-06,2025-10-28,215.24,228.92,478,6542.0,1.13,15,time stop,AMBER
HINDALCO,S4,2025-10-28,2025-11-06,839.05,787.02,291,-15141.0,-2.59,6,stop,RED
FEDERALBNK,S4,2025-10-28,2025-11-19,234.29,245.71,517,5904.0,1.01,15,time stop,RED
ADANIPORTS,S2,2025-12-08,2025-12-09,1511.29,1465.27,176,-8100.0,-1.04,1,stop,AMBER
MUTHOOTFIN,S2,2025-12-08,2025-12-30,3771.96,3667.75,37,-3856.0,-0.5,15,stop,RED
LTM,S2,2026-01-02,2026-01-06,6056.5,5886.63,23,-3907.0,-0.52,2,stop,AMBER
